Max-Ruler,commits_count,code_churn_avg,contributors_count,contributors_experience,hunks_count,issue_tracker_issues,cbo,wmc,dit,rfc,lcom,total_methods,max_nested_blocks,total_variables,total_refactorings,ncloc_cloc,duplicated_lines_cpd_density,comment_lines_cloc_density
0,3.0,35.0,3.0,98.1,1.0,0,1.0,11.0,1.0,10.0,3.0,3.0,2.0,5.0,1,40.0,0.0,59.183673469387756
0,14.0,10.0,6.0,59.1,2.0,2,7.0,6.0,1.0,8.0,3.0,3.0,2.0,3.0,0,97.0,0.0,21.774193548387096
0,18.0,9.0,4.0,52.84,2.0,3,12.0,23.0,1.0,31.0,7.0,6.0,5.0,10.0,10,102.0,0.0,24.444444444444443
0,16.0,9.0,3.0,63.89,1.5,0,5.0,26.0,1.0,27.0,49.0,11.0,2.0,11.0,17,95.0,0.0,22.76422764227642
0,12.0,10.0,2.0,61.58,1.0,0,7.0,35.0,1.0,19.0,72.0,13.0,4.0,2.0,4,79.0,0.0,26.168224299065418
0,15.0,29.0,1.0,100.0,5.0,0,13.0,24.0,1.0,77.0,2.0,5.0,3.0,30.0,124,336.0,0.0,12.5
0,50.0,5.0,3.0,75.71,3.0,17,20.0,24.0,7.0,34.0,40.0,12.0,3.0,8.0,28,167.0,0.0,18.536585365853657
0,8.0,20.0,5.0,72.35,2.0,23,1.0,22.0,3.0,1.0,71.0,19.0,1.0,5.0,35,77.0,0.0,35.294117647058826
0,24.0,6.0,9.0,41.87,2.0,281,4.0,16.0,2.0,15.0,19.0,7.0,2.0,9.0,18,81.0,0.0,27.027027027027028
0,25.0,6.0,7.0,38.94,1.0,0,7.0,18.0,4.0,29.0,10.0,8.0,2.0,18.0,27,87.0,0.0,25.0
0,4.0,32.0,3.0,95.65,1.5,0,1.0,4.0,1.0,8.0,0.0,1.0,2.0,10.0,0,38.0,0.0,62.37623762376238
0,4.0,19.0,2.0,75.76,1.5,1,2.0,4.0,1.0,7.0,0.0,1.0,3.0,7.0,0,32.0,0.0,55.55555555555556
0,1.0,151.0,1.0,100.0,1.0,2,1.0,5.0,1.0,17.0,3.0,3.0,1.0,15.0,0,45.0,0.0,67.3913043478261
0,8.0,31.0,4.0,61.49,1.0,0,9.0,44.0,1.0,32.0,57.0,14.0,3.0,31.0,45,172.0,0.0,16.908212560386474
0,40.0,7.0,5.0,64.09,3.5,2,9.0,48.0,1.0,23.0,216.0,24.0,2.0,35.0,139,198.0,0.0,17.154811715481173
0,3.0,30.0,1.0,100.0,1.0,3,3.0,7.0,1.0,11.0,6.0,4.0,1.0,0.0,0,29.0,0.0,63.74999999999999
0,23.0,9.0,4.0,36.14,3.0,2,7.0,32.0,1.0,35.0,30.0,9.0,3.0,21.0,197,149.0,0.0,19.45945945945946
0,12.0,8.0,5.0,74.75,1.0,0,0.0,20.0,1.0,17.0,0.0,2.0,4.0,25.0,1,82.0,0.0,0.0
0,16.0,14.0,4.0,53.31,3.0,0,20.0,30.0,2.0,31.0,17.0,10.0,2.0,23.0,26,155.0,0.0,19.270833333333336
0,6.0,6.0,4.0,65.91,1.0,0,1.0,5.0,1.0,4.0,10.0,5.0,0.0,0.0,9,18.0,0.0,40.0
0,29.0,10.0,6.0,47.55,3.0,17,10.0,44.0,2.0,57.0,105.0,19.0,4.0,23.0,414,221.0,0.0,13.333333333333334
0,12.0,10.0,6.0,58.17,1.0,1,7.0,20.0,1.0,16.0,0.0,3.0,3.0,20.0,4,87.0,0.0,19.444444444444446
0,29.0,14.0,7.0,45.93,3.0,3,20.0,14.0,12.0,42.0,49.0,11.0,1.0,11.0,78,254.0,0.0,24.17910447761194
0,24.0,8.0,8.0,42.14,1.0,27,7.0,27.0,1.0,20.0,33.0,11.0,3.0,10.0,8,121.0,0.0,23.417721518987342
0,18.0,6.0,8.0,56.98,1.5,10,1.0,10.0,1.0,9.0,4.0,4.0,2.0,9.0,26,69.0,0.0,30.303030303030305
0,26.0,6.0,3.0,47.77,4.0,1,6.0,23.0,3.0,22.0,46.0,13.0,3.0,5.0,21,95.0,34.73684210526316,28.030303030303028
0,22.0,8.0,3.0,50.91,2.0,2,6.0,29.0,1.0,34.0,45.0,10.0,2.0,15.0,6,108.0,0.0,28.947368421052634
0,23.0,8.0,8.0,46.12,2.0,5,9.0,29.0,1.0,34.0,10.0,9.0,3.0,15.0,111,131.0,0.0,19.1358024691358
0,9.0,14.0,3.0,42.96,1.0,0,5.0,23.0,1.0,7.0,90.0,16.0,2.0,6.0,27,75.0,0.0,27.184466019417474
0,8.0,15.0,2.0,91.24,2.0,1,12.0,12.0,2.0,21.0,8.0,5.0,3.0,14.0,18,71.0,0.0,28.28282828282828
0,45.0,6.0,7.0,36.25,2.0,4,18.0,41.0,1.0,58.0,45.0,14.0,3.0,28.0,48,185.0,0.0,17.77777777777778
0,8.0,12.0,4.0,72.39,1.0,20,10.0,11.0,1.0,18.0,1.0,2.0,2.0,5.0,8,51.0,0.0,35.44303797468354
0,9.0,11.0,4.0,56.9,2.0,1,9.0,9.0,1.0,17.0,4.0,4.0,2.0,9.0,8,58.0,0.0,23.684210526315788
0,27.0,8.0,3.0,47.56,3.0,0,8.0,32.0,3.0,32.0,86.0,16.0,3.0,12.0,33,138.0,23.91304347826087,22.905027932960895
0,25.0,8.0,8.0,37.05,2.0,0,5.0,19.0,5.0,55.0,0.0,9.0,4.0,27.0,67,124.0,0.0,18.954248366013072
0,8.0,7.0,2.0,100.0,2.0,0,1.0,10.0,1.0,7.0,6.0,4.0,3.0,2.0,10,46.0,0.0,2.127659574468085
0,7.0,32.0,3.0,54.24,5.0,1,4.0,17.0,1.0,26.0,7.0,6.0,4.0,18.0,18,90.0,0.0,1.098901098901099
0,5.0,34.0,2.0,99.51,1.0,0,3.0,25.0,1.0,35.0,24.0,9.0,2.0,16.0,11,123.0,0.0,18.543046357615893
0,10.0,19.0,5.0,52.99,4.0,2,8.0,16.0,1.0,35.0,4.0,4.0,2.0,26.0,6,114.0,0.0,25.49019607843137
0,9.0,6.0,3.0,70.31,1.0,8,1.0,4.0,1.0,0.0,6.0,4.0,0.0,0.0,1,8.0,0.0,83.6734693877551
0,9.0,13.0,3.0,88.07,1.0,13,2.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,1,84.0,0.0,25.0
0,27.0,13.0,6.0,80.67,2.0,4,5.0,42.0,4.0,29.0,153.0,18.0,3.0,21.0,32,143.0,0.0,54.166666666666664
0,20.0,13.0,6.0,31.85,4.0,1,7.0,19.0,7.0,67.0,20.0,12.0,2.0,25.0,76,198.0,0.0,3.8834951456310676
0,3.0,34.0,1.0,100.0,1.0,0,1.0,12.0,1.0,25.0,3.0,3.0,2.0,11.0,0,55.0,0.0,33.734939759036145
0,9.0,10.0,3.0,72.5,2.0,2,10.0,6.0,1.0,12.0,1.0,3.0,2.0,9.0,6,52.0,0.0,35.80246913580247
0,9.0,17.0,6.0,46.83,1.0,1,1.0,20.0,1.0,16.0,0.0,5.0,4.0,11.0,4,73.0,0.0,42.06349206349206
0,7.0,10.0,2.0,59.66,1.0,1,2.0,8.0,1.0,10.0,1.0,2.0,2.0,4.0,10,35.0,0.0,46.15384615384615
0,1.0,112.0,1.0,100.0,1.0,0,1.0,9.0,2.0,3.0,0.0,9.0,0.0,2.0,0,49.0,0.0,50.0
0,7.0,6.0,4.0,81.97,1.0,0,2.0,8.0,2.0,4.0,3.0,3.0,1.0,0.0,10,22.0,0.0,26.666666666666668
0,41.0,7.0,11.0,30.88,2.0,3,8.0,36.0,1.0,42.0,32.0,21.0,2.0,12.0,15,149.0,0.0,40.16064257028113
0,17.0,6.0,5.0,80.95,2.0,31,0.0,7.0,1.0,4.0,0.0,0.0,2.0,32.0,17,55.0,0.0,33.734939759036145
0,22.0,8.0,3.0,37.45,1.0,1,8.0,34.0,2.0,13.0,174.0,21.0,2.0,14.0,23,103.0,0.0,23.134328358208954
0,3.0,18.0,2.0,96.88,1.0,58,0.0,3.0,3.0,2.0,0.0,3.0,0.0,1.0,0,18.0,0.0,60.86956521739131
0,4.0,28.0,3.0,94.92,1.0,0,9.0,12.0,2.0,18.0,0.0,5.0,2.0,10.0,6,71.0,26.76056338028169,24.46808510638298
0,1.0,46.0,1.0,100.0,1.0,0,0.0,4.0,1.0,3.0,0.0,1.0,2.0,0.0,0,13.0,0.0,68.29268292682927
0,4.0,58.0,2.0,99.15,1.0,22,2.0,18.0,1.0,26.0,43.0,11.0,3.0,4.0,0,86.0,0.0,59.813084112149525
0,2.0,11.0,1.0,100.0,0.5,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1,11.0,0.0,21.428571428571427
0,4.0,7.0,2.0,72.5,1.5,11,1.0,3.0,1.0,7.0,0.0,1.0,1.0,4.0,1,17.0,0.0,26.08695652173913
0,2.0,26.0,2.0,54.12,6.5,3,1.0,8.0,1.0,3.0,0.0,3.0,2.0,10.0,0,42.0,0.0,0.0
0,9.0,16.0,4.0,68.4,4.0,1,6.0,10.0,1.0,18.0,1.0,3.0,4.0,17.0,0,81.0,0.0,29.565217391304348
0,46.0,8.0,8.0,55.96,2.0,1078,7.0,54.0,1.0,55.0,66.0,24.0,2.0,30.0,76,198.0,0.0,38.69969040247678
0,37.0,5.0,6.0,60.61,2.0,0,5.0,28.0,1.0,39.0,46.0,12.0,3.0,18.0,24,122.0,0.0,25.153374233128833
0,18.0,9.0,7.0,88.71,1.0,0,16.0,17.0,8.0,28.0,9.0,7.0,3.0,9.0,59,134.0,0.0,2.18978102189781
0,2.0,53.0,2.0,71.3,1.5,0,6.0,9.0,1.0,12.0,0.0,4.0,2.0,5.0,0,61.0,0.0,33.69565217391305
0,9.0,8.0,4.0,45.28,1.0,0,0.0,6.0,2.0,5.0,4.0,5.0,1.0,4.0,1,30.0,0.0,49.152542372881356
0,3.0,35.0,1.0,100.0,1.0,0,4.0,12.0,1.0,24.0,36.0,9.0,2.0,5.0,0,60.0,0.0,31.818181818181817
0,6.0,14.0,3.0,80.0,1.0,0,3.0,10.0,1.0,7.0,0.0,9.0,0.0,2.0,2,44.0,0.0,38.88888888888889
0,5.0,12.0,2.0,64.12,1.0,0,2.0,6.0,1.0,4.0,0.0,6.0,0.0,2.0,1,32.0,0.0,33.33333333333333
0,40.0,4.0,9.0,40.45,2.5,12,10.0,15.0,8.0,33.0,0.0,4.0,2.0,9.0,72,109.0,0.0,14.84375
0,39.0,5.0,7.0,49.13,1.0,281,10.0,19.0,2.0,20.0,83.0,14.0,2.0,9.0,24,97.0,0.0,33.10344827586207
0,27.0,7.0,4.0,45.57,2.0,1,6.0,41.0,2.0,27.0,270.0,25.0,2.0,13.0,11,111.0,0.0,28.846153846153843
0,5.0,11.0,2.0,93.75,1.0,2,3.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,6,18.0,0.0,61.702127659574465
0,4.0,18.0,3.0,91.55,1.0,0,1.0,7.0,1.0,0.0,15.0,7.0,0.0,1.0,19,31.0,0.0,47.45762711864407
0,2.0,48.0,2.0,87.85,2.5,1,6.0,9.0,1.0,12.0,0.0,4.0,3.0,9.0,0,50.0,0.0,30.555555555555557
