class_name,project_name,commits_count,code_churn_avg,contributors_count,contributors_experience,hunks_count,issue_tracker_issues,cbo,wmc,dit,rfc,lcom,total_methods,max_nested_blocks,total_variables,total_refactorings,ncloc_cloc,Max-Ruler,duplicated_lines_cpd_density,comment_lines_cloc_density
StorageUtils.java,azkaban,2.0,62.0,2.0,72.62,9.0,1.0,6.0,12.0,1.0,17.0,9.0,6.0,3.0,8.0,0.0,78.0,0.0,0.0,30.357142857142854
ValidationUtils.java,azkaban,4.0,34.0,2.0,99.38,2.0,1.0,5.0,9.0,1.0,16.0,2.0,5.0,2.0,19.0,9.0,93.0,0.0,0.0,21.1864406779661
WebUtils.java,azkaban,15.0,16.0,7.0,53.91,5.0,0.0,7.0,28.0,1.0,36.0,3.0,10.0,4.0,24.0,50.0,142.0,0.0,0.0,35.74660633484163
ExecutableFlow.java,azkaban,15.0,13.0,5.0,50.58,4.0,1.0,7.0,14.0,2.0,16.0,13.0,6.0,2.0,7.0,25.0,108.0,0.0,0.0,38.63636363636363
KafkaEventMonitor.java,azkaban,3.0,68.0,2.0,99.36,1.0,3.0,9.0,24.0,1.0,13.0,0.0,10.0,2.0,11.0,36.0,161.0,0.0,0.0,11.538461538461538
ParquetFileViewer.java,azkaban,1.0,118.0,1.0,100.0,1.0,0.0,8.0,13.0,2.0,19.0,2.0,4.0,3.0,14.0,0.0,82.0,0.0,0.0,20.388349514563107
HadoopPigJob.java,azkaban,1.0,142.0,1.0,100.0,1.0,0.0,2.0,16.0,1.0,16.0,4.0,5.0,6.0,11.0,0.0,83.0,0.0,0.0,35.15625
JmxJobMBeanManager.java,azkaban,9.0,13.0,5.0,51.67,3.0,0.0,13.0,12.0,4.0,25.0,9.0,6.0,2.0,10.0,1.0,87.0,0.0,21.839080459770116,14.705882352941178
AbstractServiceServlet.java,azkaban,7.0,20.0,5.0,59.94,3.0,1.0,10.0,18.0,1.0,37.0,3.0,3.0,4.0,16.0,17.0,98.0,0.0,0.0,19.00826446280992
CryptoV1.java,azkaban,2.0,36.0,1.0,100.0,9.0,0.0,5.0,8.0,1.0,3.0,0.0,4.0,1.0,4.0,19.0,46.0,0.0,0.0,28.125
NodeBeanLoader.java,azkaban,19.0,17.0,8.0,41.4,9.0,5.0,17.0,22.0,1.0,64.0,19.0,11.0,4.0,33.0,165.0,202.0,0.0,0.0,27.33812949640288
ProjectServlet.java,azkaban,19.0,5.0,13.0,34.27,2.0,0.0,11.0,8.0,2.0,15.0,8.0,5.0,2.0,4.0,64.0,54.0,0.0,0.0,25.0
Crypto.java,azkaban,1.0,101.0,1.0,100.0,1.0,0.0,1.0,12.0,1.0,9.0,21.0,7.0,1.0,7.0,0.0,64.0,0.0,0.0,18.9873417721519
ExecuteAsUser.java,azkaban,4.0,26.0,2.0,64.26,1.0,1.0,11.0,7.0,1.0,16.0,0.0,2.0,3.0,8.0,10.0,57.0,0.0,0.0,35.22727272727273
Project.java,azkaban,1.0,196.0,1.0,100.0,1.0,0.0,15.0,29.0,2.0,26.0,0.0,5.0,3.0,19.0,0.0,152.0,0.0,0.0,12.138728323699421
JobCallbackConstants.java,azkaban,21.0,18.0,8.0,46.92,3.0,1.0,9.0,67.0,2.0,65.0,259.0,27.0,3.0,48.0,7.0,295.0,0.0,0.0,7.523510971786834
RemoteFlowWatcher.java,azkaban,1.0,83.0,1.0,100.0,1.0,0.0,8.0,7.0,1.0,2.0,0.0,4.0,1.0,4.0,1.0,57.0,0.0,0.0,20.833333333333336
Schedule.java,azkaban,9.0,8.0,6.0,33.04,1.0,2.0,0.0,3.0,4.0,0.0,3.0,3.0,0.0,1.0,1.0,13.0,0.0,0.0,53.57142857142857
ValidationReport.java,azkaban,1.0,103.0,1.0,100.0,1.0,0.0,10.0,9.0,1.0,18.0,3.0,6.0,2.0,9.0,0.0,67.0,0.0,0.0,24.719101123595504
AbstractHadoopJavaProcessJob.java,azkaban,3.0,68.0,2.0,65.32,1.0,0.0,11.0,26.0,5.0,35.0,66.0,12.0,2.0,24.0,18.0,151.0,0.0,0.0,13.218390804597702
AbstractMetric.java,azkaban,9.0,19.0,3.0,95.83,2.0,2.0,16.0,13.0,1.0,42.0,6.0,9.0,2.0,15.0,8.0,119.0,0.0,0.0,20.666666666666668
AzkabanWebServerModule.java,azkaban,1.0,116.0,1.0,100.0,1.0,0.0,2.0,10.0,1.0,6.0,0.0,10.0,0.0,21.0,17.0,69.0,0.0,0.0,23.333333333333332
CompositeException.java,azkaban,3.0,24.0,1.0,100.0,2.0,1.0,9.0,5.0,1.0,7.0,0.0,4.0,1.0,5.0,8.0,33.0,0.0,0.0,46.774193548387096
ConditionChecker.java,azkaban,14.0,18.0,8.0,26.12,1.0,1.0,3.0,22.0,1.0,10.0,138.0,20.0,1.0,9.0,15.0,98.0,0.0,0.0,15.517241379310345
ExecutorComparator.java,azkaban,5.0,23.0,3.0,85.71,5.0,1.0,6.0,8.0,1.0,5.0,0.0,5.0,1.0,4.0,12.0,49.0,0.0,0.0,54.20560747663551
ExecutorLoader.java,azkaban,50.0,3.0,19.0,19.83,3.0,4.0,23.0,25.0,2.0,61.0,34.0,13.0,3.0,38.0,163.0,179.0,0.0,0.0,14.354066985645932
HashUtils.java,azkaban,2.0,42.0,1.0,100.0,0.5,0.0,9.0,4.0,1.0,19.0,0.0,3.0,1.0,13.0,1.0,48.0,0.0,0.0,32.3943661971831
HdfsFileViewer.java,azkaban,14.0,6.0,7.0,47.2,1.0,1.0,3.0,7.0,1.0,3.0,0.0,5.0,1.0,3.0,3.0,28.0,0.0,0.0,34.883720930232556
HiveQueryExecutorModule.java,azkaban,1.0,28.0,1.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,64.0
IndexRedirectServlet.java,azkaban,2.0,20.0,1.0,100.0,0.5,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0,0.0,82.85714285714286
JavaxMailSender.java,azkaban,1.0,120.0,1.0,100.0,1.0,0.0,7.0,9.0,1.0,32.0,0.0,4.0,1.0,14.0,0.0,69.0,0.0,0.0,32.35294117647059
JdbcExecutorLoader.java,azkaban,1.0,171.0,1.0,100.0,1.0,0.0,3.0,27.0,1.0,27.0,0.0,9.0,4.0,18.0,0.0,110.0,0.0,0.0,29.48717948717949
JdbcTriggerImpl.java,azkaban,13.0,11.0,4.0,63.04,3.0,1.0,11.0,18.0,1.0,27.0,48.0,12.0,1.0,6.0,64.0,97.0,0.0,0.0,18.487394957983195
Node.java,azkaban,4.0,15.0,2.0,75.27,3.5,2.0,3.0,8.0,2.0,12.0,6.0,4.0,2.0,3.0,5.0,40.0,0.0,0.0,23.076923076923077
NoopJob.java,azkaban,12.0,6.0,7.0,24.71,1.0,4.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,2.0,4.0,15.0,0.0,0.0,50.0
Pair.java,azkaban,9.0,6.0,4.0,68.64,1.0,1.0,2.0,9.0,1.0,0.0,36.0,9.0,0.0,0.0,1.0,14.0,0.0,0.0,62.16216216216216
QuartzJobDescription.java,azkaban,16.0,16.0,9.0,40.97,1.0,137.0,2.0,27.0,1.0,8.0,99.0,18.0,2.0,10.0,4.0,120.0,0.0,0.0,11.11111111111111
RampPolicy.java,azkaban,1.0,70.0,1.0,100.0,1.0,0.0,7.0,7.0,1.0,5.0,0.0,2.0,1.0,6.0,0.0,39.0,0.0,0.0,36.0655737704918
RunningExecutions.java,azkaban,14.0,23.0,6.0,51.53,1.0,2.0,2.0,23.0,1.0,16.0,74.0,17.0,2.0,23.0,4.0,109.0,0.0,0.0,12.8
StreamProviderHDFS.java,azkaban,3.0,36.0,1.0,100.0,5.0,0.0,10.0,13.0,1.0,8.0,1.0,3.0,3.0,4.0,52.0,66.0,0.0,0.0,30.526315789473685
TriggerInstance.java,azkaban,1.0,284.0,1.0,100.0,1.0,0.0,16.0,22.0,1.0,61.0,45.0,11.0,1.0,33.0,0.0,163.0,0.0,0.0,34.274193548387096
TriggerManager.java,azkaban,22.0,8.0,11.0,48.29,1.0,4.0,6.0,6.0,5.0,9.0,6.0,4.0,1.0,11.0,5.0,98.0,0.0,0.0,26.865671641791046
Triple.java,azkaban,1.0,67.0,1.0,100.0,1.0,0.0,6.0,5.0,1.0,6.0,0.0,5.0,0.0,6.0,0.0,38.0,0.0,0.0,32.142857142857146
Whitelist.java,azkaban,25.0,9.0,9.0,36.19,3.0,2.0,15.0,27.0,1.0,67.0,52.0,13.0,2.0,26.0,29.0,179.0,0.0,0.0,8.205128205128204
DatabaseSetup.java,azkaban,30.0,8.0,7.0,63.21,2.5,5.0,15.0,36.0,1.0,54.0,0.0,8.0,4.0,38.0,28.0,181.0,0.0,0.0,21.304347826086957
InMemoryMetricEmitter.java,azkaban,1.0,72.0,1.0,100.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,32.0,0.0,0.0,49.2063492063492
ExecutorFilter.java,azkaban,14.0,7.0,5.0,52.34,3.0,0.0,5.0,10.0,2.0,7.0,13.0,6.0,1.0,5.0,10.0,48.0,0.0,0.0,46.06741573033708
ExecutorDao.java,azkaban,1.0,133.0,1.0,100.0,1.0,3.0,16.0,3.0,4.0,21.0,0.0,2.0,1.0,6.0,0.0,93.0,0.0,0.0,14.678899082568808
ImageFileViewer.java,azkaban,1.0,44.0,1.0,100.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,22.0,0.0,0.0,43.58974358974359
PluginUtils.java,azkaban,25.0,4.0,7.0,42.72,3.0,0.0,22.0,11.0,2.0,16.0,3.0,6.0,1.0,7.0,35.0,79.0,0.0,0.0,21.0
TriggerManagerServlet.java,azkaban,7.0,12.0,4.0,44.81,3.0,0.0,4.0,8.0,1.0,5.0,14.0,8.0,0.0,8.0,15.0,48.0,0.0,0.0,32.3943661971831
UserUtils.java,azkaban,1.0,44.0,1.0,100.0,1.0,0.0,5.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,0.0,19.0,0.0,0.0,50.0
ActiveExecutingFlowsDao.java,azkaban,10.0,9.0,8.0,48.46,1.0,0.0,2.0,11.0,1.0,4.0,5.0,7.0,3.0,4.0,1.0,49.0,0.0,0.0,23.4375
FlowPreparer.java,azkaban,2.0,50.0,1.0,100.0,3.5,0.0,5.0,8.0,1.0,5.0,14.0,8.0,0.0,7.0,5.0,47.0,0.0,0.0,45.348837209302324
JMXHttpServlet.java,azkaban,18.0,8.0,8.0,39.82,1.0,20.0,3.0,6.0,1.0,2.0,0.0,6.0,0.0,4.0,39.0,32.0,0.0,0.0,42.857142857142854
SecurePigWrapper.java,azkaban,2.0,39.0,1.0,100.0,1.5,4.0,15.0,4.0,2.0,13.0,1.0,3.0,1.0,11.0,11.0,59.0,0.0,0.0,7.8125
StreamProviderLocal.java,azkaban,27.0,11.0,11.0,37.47,2.0,0.0,6.0,39.0,1.0,25.0,433.0,34.0,1.0,41.0,19.0,209.0,0.0,0.0,10.683760683760683
ExecutionFinalizer.java,azkaban,6.0,17.0,4.0,52.36,2.0,0.0,1.0,6.0,1.0,0.0,5.0,6.0,0.0,5.0,0.0,63.0,0.0,0.0,27.586206896551722
AvroFileViewer.java,azkaban,2.0,29.0,1.0,100.0,1.5,0.0,2.0,3.0,1.0,10.0,0.0,3.0,1.0,4.0,0.0,30.0,0.0,0.0,41.17647058823529
ExecutableFlowBase.java,azkaban,9.0,9.0,5.0,56.49,3.0,0.0,5.0,7.0,1.0,10.0,4.0,4.0,3.0,6.0,4.0,42.0,0.0,0.0,39.130434782608695
NumExecutionsDao.java,azkaban,2.0,104.0,2.0,63.16,5.5,0.0,16.0,20.0,2.0,24.0,41.0,10.0,2.0,13.0,20.0,141.0,0.0,0.0,22.950819672131146
JobExecutionException.java,azkaban,10.0,7.0,4.0,50.79,1.5,2.0,3.0,9.0,1.0,9.0,0.0,9.0,0.0,1.0,1.0,41.0,0.0,0.0,31.666666666666664
KafkaDependencyCheck.java,azkaban,8.0,6.0,3.0,61.16,1.0,0.0,1.0,8.0,1.0,0.0,28.0,8.0,0.0,0.0,1.0,19.0,0.0,0.0,47.22222222222222
PigProcessJob.java,azkaban,21.0,5.0,9.0,37.38,2.0,0.0,6.0,3.0,2.0,8.0,0.0,2.0,1.0,3.0,1.0,51.0,0.0,0.0,26.08695652173913
TriggerInstanceProcessor.java,azkaban,1.0,59.0,1.0,100.0,1.0,0.0,11.0,8.0,2.0,7.0,0.0,5.0,1.0,3.0,0.0,43.0,0.0,0.0,8.51063829787234
SlaOptionDeprecated.java,azkaban,7.0,18.0,3.0,69.26,3.0,0.0,3.0,13.0,1.0,17.0,4.0,5.0,4.0,15.0,33.0,75.0,0.0,0.0,30.555555555555557
ActiveExecutors.java,azkaban,19.0,9.0,10.0,61.71,1.0,71.0,8.0,10.0,1.0,16.0,1.0,6.0,2.0,10.0,4.0,58.0,0.0,0.0,34.090909090909086
AzkabanProcessBuilder.java,azkaban,5.0,27.0,4.0,43.38,2.0,1.0,13.0,15.0,1.0,22.0,10.0,5.0,2.0,7.0,5.0,68.0,0.0,0.0,44.71544715447154
ConnectorParams.java,azkaban,1.0,86.0,1.0,100.0,1.0,0.0,5.0,10.0,2.0,9.0,2.0,5.0,3.0,8.0,1.0,50.0,0.0,0.0,32.432432432432435
DatabaseTransOperator.java,azkaban,4.0,12.0,3.0,75.0,1.0,0.0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,22.0,0.0,0.0,42.10526315789473
Emailer.java,azkaban,16.0,6.0,7.0,47.21,2.5,2.0,14.0,7.0,2.0,26.0,10.0,5.0,1.0,12.0,1.0,68.0,0.0,0.0,20.0
EncryptionCLI.java,azkaban,4.0,26.0,3.0,79.05,5.0,4.0,8.0,9.0,1.0,25.0,0.0,4.0,1.0,12.0,63.0,70.0,0.0,0.0,20.454545454545457
EventHandler.java,azkaban,11.0,9.0,2.0,67.34,4.0,0.0,6.0,11.0,1.0,9.0,1.0,3.0,3.0,5.0,9.0,52.0,0.0,0.0,37.34939759036144
GobblinConstants.java,azkaban,10.0,6.0,6.0,37.69,2.5,0.0,7.0,4.0,1.0,4.0,0.0,4.0,0.0,7.0,24.0,34.0,0.0,0.0,39.285714285714285
ICrypto.java,azkaban,3.0,59.0,3.0,65.26,2.0,0.0,7.0,23.0,1.0,22.0,0.0,13.0,1.0,8.0,6.0,92.0,0.0,0.0,41.77215189873418
JdbcDependencyManager.java,azkaban,1.0,97.0,1.0,100.0,1.0,0.0,7.0,14.0,2.0,14.0,6.0,4.0,2.0,7.0,0.0,57.0,0.0,0.0,35.95505617977528
KafkaDepInstanceCollection.java,azkaban,1.0,113.0,1.0,100.0,1.0,0.0,8.0,9.0,2.0,19.0,3.0,3.0,3.0,9.0,0.0,64.0,0.0,0.0,32.631578947368425
LocalStorage.java,azkaban,15.0,11.0,9.0,30.51,4.0,0.0,7.0,15.0,1.0,8.0,75.0,15.0,0.0,25.0,43.0,88.0,0.0,0.0,41.333333333333336
PatternLayoutEscaped.java,azkaban,5.0,19.0,2.0,71.33,1.0,0.0,7.0,16.0,1.0,12.0,1.0,2.0,2.0,6.0,0.0,56.0,0.0,0.0,37.77777777777778
ProcessFailureException.java,azkaban,14.0,11.0,4.0,57.81,2.5,155.0,3.0,28.0,1.0,6.0,20.0,13.0,2.0,9.0,37.0,96.0,0.0,0.0,26.153846153846157
TriggerPlugin.java,azkaban,2.0,90.0,1.0,100.0,1.0,1.0,16.0,22.0,1.0,53.0,0.0,6.0,4.0,20.0,0.0,130.0,0.0,0.0,23.076923076923077
User.java,azkaban,9.0,16.0,5.0,50.68,1.0,0.0,2.0,10.0,1.0,5.0,0.0,8.0,1.0,8.0,4.0,46.0,0.0,0.0,24.59016393442623
HiveViaAzkaban.java,azkaban,12.0,10.0,6.0,66.67,1.0,0.0,5.0,5.0,1.0,6.0,0.0,2.0,2.0,4.0,4.0,37.0,0.0,0.0,28.846153846153843
Edge.java,azkaban,3.0,71.0,1.0,100.0,5.0,0.0,7.0,21.0,1.0,48.0,4.0,8.0,3.0,21.0,18.0,139.0,0.0,0.0,25.668449197860966
FlowLoaderFactory.java,azkaban,31.0,9.0,13.0,46.43,2.0,0.0,9.0,34.0,1.0,0.0,561.0,34.0,0.0,0.0,31.0,79.0,0.0,0.0,59.693877551020414
ArchiveUnthinner.java,azkaban,13.0,11.0,9.0,36.79,2.0,0.0,1.0,6.0,1.0,0.0,5.0,6.0,0.0,5.0,1.0,83.0,0.0,0.0,19.41747572815534
DataSourceUtils.java,azkaban,1.0,36.0,1.0,100.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,13.0,0.0,0.0,58.06451612903226
KafkaDependencyInstanceContext.java,azkaban,28.0,9.0,14.0,42.86,2.0,1.0,7.0,16.0,1.0,28.0,0.0,9.0,2.0,13.0,11.0,90.0,0.0,0.0,38.35616438356164
TriggerBasedScheduleLoader.java,azkaban,5.0,37.0,4.0,67.07,2.0,3.0,11.0,23.0,1.0,29.0,0.0,7.0,3.0,18.0,12.0,113.0,0.0,0.0,31.515151515151512
XmlValidatorManager.java,azkaban,2.0,34.0,1.0,100.0,0.5,95.0,2.0,6.0,1.0,9.0,2.0,4.0,1.0,5.0,1.0,37.0,0.0,0.0,37.28813559322034
SlaType.java,azkaban,6.0,24.0,4.0,54.9,1.5,3.0,10.0,15.0,6.0,34.0,43.0,10.0,2.0,10.0,42.0,90.0,0.0,0.0,21.73913043478261
TimeBasedReportingMetric.java,azkaban,1.0,87.0,1.0,100.0,1.0,0.0,3.0,9.0,1.0,8.0,0.0,9.0,0.0,10.0,0.0,58.0,0.0,0.0,20.54794520547945
WordCount.java,azkaban,20.0,4.0,12.0,31.28,1.0,0.0,3.0,4.0,1.0,6.0,0.0,4.0,0.0,6.0,10.0,29.0,0.0,0.0,38.297872340425535
AddExternalPartitionHQL.java,azkaban,1.0,38.0,1.0,100.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,56.25
AzkabanCommonModule.java,azkaban,1.0,34.0,1.0,100.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,10.0,0.0,0.0,64.28571428571429
AzkabanCommonModuleConfig.java,azkaban,1.0,33.0,1.0,100.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,13.0,0.0,0.0,55.172413793103445
AzkabanCoreModule.java,azkaban,2.0,36.0,2.0,97.26,1.0,0.0,5.0,8.0,1.0,3.0,0.0,3.0,2.0,5.0,0.0,48.0,0.0,0.0,23.809523809523807
BlockingStatus.java,azkaban,8.0,14.0,7.0,48.75,1.5,3.0,8.0,8.0,1.0,17.0,0.0,2.0,1.0,9.0,1.0,64.0,0.0,0.0,18.9873417721519
Countdown.java,azkaban,3.0,8.0,2.0,96.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,71.42857142857143
DBMetrics.java,azkaban,8.0,5.0,7.0,30.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,71.42857142857143
Event.java,azkaban,2.0,19.0,1.0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,68.75
ExecJettyServerModule.java,azkaban,3.0,16.0,2.0,81.36,1.0,0.0,0.0,7.0,4.0,2.0,10.0,5.0,1.0,1.0,1.0,24.0,0.0,0.0,40.0
ExecutionOptions.java,azkaban,7.0,16.0,2.0,50.68,2.0,0.0,3.0,4.0,2.0,1.0,0.0,4.0,0.0,2.0,18.0,72.0,0.0,0.0,22.58064516129032
ExecutorLogEvent.java,azkaban,6.0,13.0,2.0,63.71,3.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,16.0,43.0,0.0,0.0,32.8125
FlowTriggerExecutionCleaner.java,azkaban,5.0,13.0,2.0,54.67,4.0,0.0,1.0,6.0,1.0,2.0,5.0,6.0,0.0,5.0,13.0,35.0,0.0,0.0,35.18518518518518
GangliaMetricEmitter.java,azkaban,16.0,11.0,10.0,42.37,3.0,6.0,9.0,27.0,1.0,26.0,37.0,10.0,2.0,15.0,6.0,107.0,0.0,0.0,17.692307692307693
HadoopModule.java,azkaban,2.0,13.0,1.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,66.66666666666666
JmxTriggerManager.java,azkaban,7.0,13.0,2.0,63.0,4.0,0.0,5.0,7.0,1.0,9.0,1.0,3.0,2.0,4.0,2.0,37.0,0.0,0.0,53.16455696202531
JmxTriggerManagerMBean.java,azkaban,1.0,22.0,1.0,100.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,75.0
LocalFlowWatcher.java,azkaban,1.0,45.0,1.0,100.0,1.0,0.0,1.0,4.0,1.0,5.0,0.0,4.0,0.0,1.0,0.0,17.0,0.0,0.0,54.054054054054056
LocalHadoopStorage.java,azkaban,12.0,12.0,8.0,32.29,1.0,0.0,1.0,8.0,1.0,8.0,0.0,6.0,1.0,3.0,4.0,43.0,0.0,0.0,32.8125
OsMemoryUtil.java,azkaban,2.0,22.0,1.0,100.0,1.0,0.0,1.0,5.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,24.0,0.0,0.0,38.46153846153847
Page.java,azkaban,1.0,22.0,1.0,100.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,75.0
RestfulApiClient.java,azkaban,1.0,31.0,1.0,100.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,85.71428571428571
RunningExecutionsUpdaterThread.java,azkaban,4.0,18.0,1.0,100.0,1.5,0.0,3.0,7.0,1.0,6.0,0.0,4.0,1.0,3.0,0.0,36.0,0.0,0.0,40.0
StorageImplementationType.java,azkaban,4.0,40.0,1.0,100.0,3.0,7.0,5.0,23.0,1.0,13.0,0.0,12.0,2.0,6.0,0.0,83.0,0.0,0.0,41.95804195804196
UserManagerResource.java,azkaban,4.0,55.0,1.0,100.0,3.5,0.0,7.0,11.0,1.0,10.0,5.0,7.0,1.0,8.0,7.0,106.0,0.0,0.0,45.36082474226804
WebServerProvider.java,azkaban,1.0,24.0,1.0,100.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,71.42857142857143
CandidateSelector.java,azkaban,1.0,28.0,1.0,100.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,84.0
ExecMetrics.java,azkaban,3.0,33.0,1.0,100.0,8.0,0.0,9.0,8.0,1.0,8.0,0.0,8.0,0.0,5.0,8.0,50.0,0.0,0.0,42.5287356321839
QueuedExecutions.java,azkaban,8.0,20.0,4.0,76.33,2.5,4.0,11.0,14.0,1.0,15.0,0.0,6.0,2.0,6.0,19.0,78.0,0.0,0.0,46.206896551724135
SimpleAutoRampPolicy.java,azkaban,9.0,10.0,4.0,62.16,3.0,2.0,7.0,8.0,1.0,5.0,22.0,8.0,0.0,1.0,19.0,51.0,0.0,0.0,32.0
BsonFileViewer.java,azkaban,2.0,27.0,1.0,100.0,1.5,0.0,5.0,1.0,1.0,11.0,0.0,1.0,1.0,7.0,1.0,36.0,0.0,0.0,23.404255319148938
CommonMetrics.java,azkaban,3.0,14.0,1.0,100.0,1.0,0.0,5.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0,80.0
ExecutableFlowPriorityComparator.java,azkaban,1.0,32.0,1.0,100.0,1.0,0.0,1.0,2.0,5.0,0.0,1.0,2.0,0.0,1.0,0.0,11.0,0.0,0.0,57.692307692307686
Executor.java,azkaban,1.0,55.0,1.0,100.0,1.0,0.0,2.0,7.0,2.0,3.0,0.0,3.0,1.0,2.0,0.0,27.0,0.0,0.0,44.89795918367347
ExecutorHealthChecker.java,azkaban,3.0,34.0,1.0,100.0,1.0,0.0,4.0,14.0,1.0,0.0,39.0,14.0,0.0,7.0,14.0,67.0,0.0,0.0,19.27710843373494
FlowProps.java,azkaban,3.0,10.0,1.0,100.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,80.76923076923077
MultipartParser.java,azkaban,2.0,20.0,1.0,100.0,4.0,0.0,3.0,3.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0,17.0,0.0,0.0,46.875
ProjectCacheCleaner.java,azkaban,2.0,14.0,1.0,100.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,84.61538461538461
ProjectLoader.java,azkaban,1.0,41.0,1.0,100.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,19.0,0.0,0.0,44.11764705882353
ProjectLogEvent.java,azkaban,3.0,10.0,1.0,100.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,84.61538461538461
RegexKafkaDependencyMatcher.java,azkaban,2.0,20.0,1.0,100.0,2.0,0.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,15.0,0.0,0.0,55.88235294117647
SessionCache.java,azkaban,2.0,14.0,1.0,100.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,84.61538461538461
SparkJobArg.java,azkaban,1.0,41.0,1.0,100.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,19.0,0.0,0.0,44.11764705882353
StorageCleaner.java,azkaban,1.0,28.0,1.0,100.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,84.0
ValidationStatus.java,azkaban,2.0,14.0,1.0,100.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,84.61538461538461
Version.java,azkaban,1.0,41.0,1.0,100.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,19.0,0.0,0.0,44.11764705882353
HadoopHiveJob.java,azkaban,1.0,34.0,1.0,100.0,1.0,0.0,0.0,3.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,60.0
PigIoStats.java,azkaban,1.0,41.0,1.0,100.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,5.0,0.0,20.0,0.0,0.0,44.44444444444444
AbstractMailer.java,azkaban,4.0,12.0,2.0,77.78,1.0,0.0,1.0,5.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,21.0,0.0,0.0,48.78048780487805
AbstractQuartzJob.java,azkaban,3.0,14.0,2.0,86.36,4.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,20.0,0.0,0.0,41.17647058823529
AbstractRampPolicy.java,azkaban,11.0,4.0,5.0,75.41,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,78.94736842105263
AlterTableLocationQL.java,azkaban,2.0,14.0,1.0,100.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,23.076923076923077
