class_name,project_name,commits_count,code_churn_avg,contributors_count,contributors_experience,hunks_count,issue_tracker_issues,cbo,wmc,dit,rfc,lcom,total_methods,max_nested_blocks,total_variables,total_refactorings,ncloc_cloc,Max-Ruler,duplicated_lines_cpd_density,comment_lines_cloc_density
NotificationPopup.java,arduino,2.0,74.0,2.0,98.67,1.0,0.0,5.0,6.0,6.0,37.0,8.0,5.0,1.0,7.0,0.0,90.0,0.0,0.0,29.133858267716533
MenuScroller.java,arduino,37.0,10.0,11.0,46.66,2.0,1.0,12.0,33.0,4.0,49.0,20.0,8.0,3.0,60.0,22.0,238.0,1.0,0.0,17.36111111111111
GoToLineNumber.java,arduino,52.0,6.0,9.0,44.24,2.0,281.0,9.0,41.0,2.0,41.0,180.0,20.0,2.0,19.0,35.0,185.0,1.0,0.0,22.916666666666664
EditorHeader.java,arduino,54.0,7.0,11.0,42.13,2.0,21.0,16.0,60.0,2.0,50.0,28.0,8.0,4.0,36.0,189.0,276.0,1.0,6.884057971014493,20.23121387283237
Platform.java,arduino,5.0,18.0,2.0,96.36,1.0,0.0,0.0,13.0,6.0,8.0,7.0,7.0,2.0,7.0,1.0,58.0,0.0,0.0,21.62162162162162
SerialUploader.java,arduino,7.0,17.0,2.0,97.97,3.0,0.0,4.0,5.0,6.0,32.0,0.0,5.0,0.0,9.0,3.0,93.0,0.0,0.0,0.0
TextAreaFIFO.java,arduino,13.0,11.0,5.0,55.0,1.0,0.0,1.0,13.0,6.0,23.0,1.0,6.0,2.0,6.0,1.0,90.0,0.0,0.0,26.82926829268293
PasswordAuthorizationDialog.java,arduino,45.0,13.0,12.0,53.3,2.0,3.0,12.0,92.0,4.0,59.0,244.0,29.0,3.0,72.0,132.0,381.0,1.0,0.0,17.17391304347826
FilterJTextField.java,arduino,50.0,6.0,8.0,34.47,2.0,281.0,9.0,52.0,1.0,53.0,406.0,29.0,9.0,23.0,16.0,186.0,1.0,0.0,25.89641434262948
Compiler.java,arduino,16.0,19.0,5.0,48.75,3.0,4.0,13.0,54.0,1.0,55.0,8.0,5.0,5.0,28.0,319.0,201.0,0.0,0.0,25.555555555555554
EditorToolbar.java,arduino,190.0,5.0,26.0,52.25,3.0,15.0,23.0,108.0,1.0,154.0,0.0,23.0,3.0,66.0,165.0,525.0,1.0,0.0,27.28531855955679
Platform.java,arduino,3.0,118.0,2.0,98.89,1.0,4.0,2.0,35.0,1.0,21.0,13.0,10.0,6.0,13.0,1.0,171.0,0.0,0.0,48.338368580060425
ArchiveExtractor.java,arduino,58.0,8.0,6.0,51.33,2.0,7.0,23.0,102.0,1.0,101.0,131.0,26.0,5.0,56.0,93.0,383.0,1.0,0.0,10.722610722610723
SketchController.java,arduino,31.0,8.0,5.0,49.4,3.0,18.0,14.0,30.0,1.0,60.0,28.0,9.0,4.0,27.0,296.0,157.0,1.0,0.0,22.660098522167488
Preferences.java,arduino,14.0,10.0,4.0,70.64,1.0,4.0,3.0,30.0,1.0,26.0,10.0,5.0,4.0,12.0,8.0,93.0,0.0,0.0,22.5
SerialPortList.java,arduino,29.0,25.0,10.0,35.07,2.0,29.0,16.0,77.0,1.0,97.0,536.0,36.0,3.0,53.0,90.0,467.0,1.0,0.0,22.296173044925123
ContributionsIndexer.java,arduino,3.0,27.0,1.0,100.0,3.0,3.0,2.0,8.0,1.0,6.0,6.0,4.0,1.0,2.0,0.0,41.0,0.0,0.0,43.05555555555556
DownloadableContributionsDownloader.java,arduino,54.0,6.0,5.0,48.41,3.0,16.0,27.0,38.0,1.0,87.0,8.0,8.0,2.0,39.0,139.0,234.0,1.0,0.0,17.02127659574468
StringReplacer.java,arduino,23.0,27.0,6.0,87.75,2.0,10.0,25.0,60.0,5.0,128.0,39.0,38.0,3.0,40.0,75.0,420.0,1.0,0.0,22.93577981651376
Theme.java,arduino,63.0,5.0,4.0,52.68,3.0,6.0,26.0,30.0,7.0,50.0,34.0,12.0,3.0,18.0,38.0,227.0,0.0,0.0,12.355212355212355
Win32KnownFolders.java,arduino,26.0,11.0,6.0,45.12,1.0,7.0,9.0,54.0,1.0,59.0,209.0,27.0,3.0,17.0,11.0,206.0,1.0,0.0,8.444444444444445
ContributionInstaller.java,arduino,41.0,8.0,5.0,42.33,3.0,0.0,13.0,31.0,5.0,72.0,4.0,5.0,2.0,42.0,3.0,248.0,0.0,22.58064516129032,12.676056338028168
EditorTab.java,arduino,16.0,18.0,4.0,87.75,1.5,0.0,10.0,29.0,5.0,71.0,4.0,4.0,2.0,38.0,7.0,225.0,0.0,24.0,7.024793388429752
LibraryManagerUI.java,arduino,36.0,11.0,7.0,29.32,2.0,3.0,4.0,51.0,1.0,54.0,323.0,26.0,3.0,16.0,72.0,197.0,1.0,0.0,27.83882783882784
