model,accuracy,precision,recall,f1_score,f2_score,log_loss,auc_roc,best_score,TP,FP,FN,TN,best_params
KNN,0.9202247191011236,0.4498525073746313,0.8519553072625698,0.5888030888030888,0.7227488151658767,0.6829430356516427,0.9558673795496188,0.7561205834386637,4609,373,53,305,"{'model__algorithm': 'auto', 'model__leaf_size': 10, 'model__metric': 'manhattan', 'model__n_neighbors': 9, 'model__p': 1, 'model__weights': 'distance'}"
Keras,0.9307116104868914,0.4902280130293159,0.840782122905028,0.6193415637860082,0.7355816226783969,0.1485267365970267,0.9721163787400002,0.7548553275611467,4669,313,57,301,"{'model__model__activation': 'relu', 'model__model__neurons': 200, 'model__model__num_hidden_layers': 2, 'model__model__optimizer': 'adam'}"
SVM,0.9200374531835206,0.4539385847797063,0.9497206703910616,0.6142728093947606,0.7794589637780834,0.2281498782457642,0.9781868357371452,0.7655983136336317,4573,409,18,340,"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 'auto', 'model__kernel': 'rbf'}"
DT,0.8917602996254682,0.3772321428571428,0.9441340782122905,0.5390749601275917,0.7259450171821306,0.2237468529238097,0.9660293817519606,0.7204939908571406,4424,558,20,338,"{'model__criterion': 'entropy', 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}"
RF,0.946629213483146,0.571992110453649,0.8100558659217877,0.6705202312138728,0.7478081485301702,0.1145472453927199,0.9773547900934988,0.7812237228589181,4765,217,68,290,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 300}"
XGBoost,0.9398876404494382,0.533213644524237,0.8296089385474861,0.6491803278688525,0.746606334841629,0.1271079101531574,0.9769836214842706,0.7710889309009362,4722,260,61,297,"{'model__colsample_bytree': 0.6, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 1.0}"
