Sampler,accuracy,precision,recall,f1_score,f2_score,log_loss,auc_roc,best_score,TP,FP,FN,TN,best_params
RandomOverSampler,0.9205992509363295,0.4554054054054054,0.9413407821229052,0.6138433515482696,0.7757826887661142,0.2033897480048147,0.9751709506177548,0.7654050294910154,4579,403,21,337,"{'model__C': 1, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}"
ADASYN,0.8958801498127341,0.3882618510158013,0.9608938547486032,0.5530546623794212,0.7420189818809318,0.2715300772133771,0.9724583921110408,0.7376633560767716,4440,542,14,344,"{'model__C': 100, 'model__class_weight': 'balanced', 'model__gamma': 'auto', 'model__kernel': 'rbf'}"
RandomUnderSampler,0.9189138576779026,0.4500665778961384,0.9441340782122905,0.6095581605049594,0.7741639945029776,0.2266588250182483,0.9773121785915329,0.7616296392212009,4569,413,20,338,"{'model__C': 100, 'model__class_weight': None, 'model__gamma': 0.1, 'model__kernel': 'rbf'}"
TomekLinks,0.9205992509363295,0.4549180327868852,0.9301675977653632,0.6110091743119266,0.7694085027726433,0.0983450541440331,0.9762895025443552,0.7655911089318902,4583,399,25,333,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__gamma': 1, 'model__kernel': 'rbf'}"
SMOTEENN,0.9050561797752807,0.4105642256902761,0.9553072625698324,0.5743073047858942,0.7549668874172185,0.4449688735682526,0.9748334226679732,0.7508972472781827,4491,491,16,342,"{'model__C': 1, 'model__class_weight': 'balanced', 'model__gamma': 1, 'model__kernel': 'rbf'}"
smote,0.9200374531835206,0.4539385847797063,0.9497206703910616,0.6142728093947606,0.7794589637780834,0.2281498782457642,0.9781868357371452,0.7655983136336317,4573,409,18,340,"{'model__C': 10, 'model__class_weight': None, 'model__gamma': 'auto', 'model__kernel': 'rbf'}"
None,0.9539325842696629,0.6196581196581197,0.8100558659217877,0.7021791767554479,0.7631578947368421,0.09484094819706876,0.9767610324542655,0.7647979740766755,4804,178,68,290,"{'model__C': 10, 'model__class_weight': {0: 1, 1: 4}, 'model__gamma': 1, 'model__kernel': 'rbf'}"
