Sampler,accuracy,precision,recall,f1_score,f2_score,log_loss,auc_roc,best_score,TN,FP,FN,TP,best_params
RandomOverSampler,0.9408239700374532,0.5368421052631579,0.8547486033519553,0.6594827586206896,0.7642357642357642,0.1266534208390247,0.9767273917948189,0.7761665712943389,4718,264,52,306,"{'model__criterion': 'gini', 'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 100}"
ADASYN,0.947752808988764,0.5804480651731161,0.7960893854748603,0.6713780918727915,0.7410296411856474,0.11475590829108351,0.9772095745802206,0.7826041824217541,4776,206,73,285,"{'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 300}"
RandomUnderSampler,0.9093632958801499,0.4186046511627907,0.9050279329608939,0.5724381625441696,0.7343608340888486,0.6615554220622848,0.963505491276977,0.7489753653389776,4532,450,34,324,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 10}"
TomekLinks,0.9657303370786516,0.7850162866449512,0.6731843575418994,0.724812030075188,0.6929269695227142,0.08717170540988078,0.9793339822242755,0.6917875319098966,4916,66,117,241,"{'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__n_estimators': 1000}"
SMOTEENN,0.9307116104868914,0.49079754601226994,0.8938547486033519,0.6336633663366337,0.7677543186180422,0.2437226452916328,0.9759522549334027,0.7768174402230856,4650,332,38,320,"{'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}"
smote,0.946629213483146,0.571992110453649,0.8100558659217877,0.6705202312138728,0.7478081485301702,0.1145472453927199,0.9773547900934988,0.7812237228589181,4765,217,68,290,"{'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 5, 'model__n_estimators': 300}"
without,0.9449438202247191,0.5588235294117647,0.8491620111731844,0.6740576496674058,0.7692307692307693,0.12137732020336403,0.9763253859144316,0.7715968058636233,4742,240,54,304,"{'model__criterion': 'gini', 'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 50}"
